"Name","Function","Dimensions","Continuity",,"Convexity","Modality","Separability","Scalability",,"?????","Jamil & Yang","Jamil & Yang Name","GlobalOptValue","GlobalOptLocation"
"Ackley Function","Ackley","NA","continuous","differentiable","non-convex","multimodal",,,,,1,"Ackley 1 Function",,
"Ackley N. 2 Function",,2,,"differentiable","convex","unimodal","non-separable",,,,2,"Ackley 2 Function",,
"Ackley N. 3 Function",,2,,"differentiable","non-convex","multimodal","non-separable",,,,3,"Ackley 3 Function",,
"Ackley N. 4 Function",,"NA",,"differentiable","non-convex","multimodal","non-separable",,,,4,"Ackley 4 Function",,
"Adjiman Function",,2,,"differentiable","non-convex","multimodal","non-separable",,,,5,"Adjiman Function",,
"Alpine N. 1 Function",,"NA",,"differentiable","non-convex","multimodal","non-separable",,,,6,"Alpine 1 Function",,
"Alpine N. 2 Function",,"NA",,"differentiable","non-convex","multimodal","non-separable",,,,7,"Alpine 2 Function",,
"Brad Function",,,"continuous","differentiable",,"multimodal","non-separable","non-scalable",,,8,"Brad Function",,
"Bartels Conn Function",,2,,"non-differentiable","non-convex","multimodal","non-separable",,,,9,"Bartels Conn Function",,
"Beale Function",,2,"continuous",,"non-convex","multimodal","non-separable",,,,10,"Beale Function",,
,,2,"continuous","differentiable",,"multimodal","non-separable",,,,11,"Biggs EXP2 Function",,
,,3,"continuous","differentiable",,,"non-separable",,,,12,"Biggs EXP3 Function",,
,,4,"continuous","differentiable",,,"non-separable",,,,13,"Biggs EXP4 Function",,
,,5,"continuous","differentiable",,,"non-separable",,,,14,"Biggs EXP5 Function",,
,,6,"continuous","differentiable",,,"non-separable",,,"Actually Biggs EXP6?",15,"Biggs EXP5 Function",,
"Bird Function",,2,,"differentiable","non-convex","multimodal","non-separable","non-scalable",,,16,"Bird Function",,
"Bohachevsky N. 1 Function",,2,"continuous","differentiable","convex","unimodal","separable","non-scalable",,,17,"Bohachevsky 1 Function",0.000000000,"c(0, 0)"
"Bohachevsky N. 2 Function",,2,"continuous","differentiable","non-convex","multimodal","non-separable","non-scalable",,,18,"Bohachevsky 2 Function",0.000000000,"c(0, 0)"
